ResponseId,Age,Country,EdLevel,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith
36663,18-24y,Viet Nam,Bachelor’s degree,Bash/Shell (all shells);C#;C++;Haskell;Java;JavaScript;Python;SQL;TypeScript,None,PostgreSQL;SQLite,None,None,None,Angular;Node.js;React,None
36721,25-34y,Germany,Bachelor’s degree,Bash/Shell (all shells);Go,Bash/Shell (all shells);Go,Cloud Firestore,Cloud Firestore,Google Cloud,Google Cloud,None,None
30719,25-34y,USA,Bachelor’s degree,Bash/Shell (all shells);Go;JavaScript;Python;SQL,Bash/Shell (all shells);Go;Python;Rust;SQL;Zig,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),None,None
17354,35-44y,Germany,Master’s degree,Dart;HTML/CSS;JavaScript;TypeScript,Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Firebase Realtime Database;Redis,Cloud Firestore;Elasticsearch;PostgreSQL;Redis;Supabase,Firebase;Google Cloud,Cloudflare;Firebase;Google Cloud;Supabase,Django;Express;Flask;Svelte;Vue.js,FastAPI;Svelte
39839,35-44y,USA,Bachelor’s degree,C#;HTML/CSS;Java;Kotlin;Python;Ruby;Swift;TypeScript,C#;F#;Haskell;HTML/CSS;Kotlin;Python;Swift;TypeScript,None,None,Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;Play Framework;React,Node.js;Play Framework;React
6248,25-34y,USA,Bachelor’s degree,Java;Kotlin,Java;Kotlin,SQLite,SQLite,None,None,None,None
31794,35-44y,India,Bachelor’s degree,Bash/Shell (all shells);Go;Lua;Python,C;C++;Go;Python,PostgreSQL,None,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,None,None
21404,25-34y,France,Bachelor’s degree,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Prolog;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite;Supabase,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;OVH;Supabase;Vercel,Fly.io;OpenStack;OVH;Scaleway;Vercel,Django;Express;Fastify;NestJS;Next.js;Node.js;React;Remix;Strapi;Symfony;WordPress,Deno;Express;Fastify;Htmx;Next.js;Node.js;Phoenix;React;Remix;Solid.js;Strapi;Symfony
57615,35-44y,USA,Study wo degree,C#;HTML/CSS;JavaScript;SQL,None,Microsoft SQL Server,None,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,None,ASP.NET,None
24729,35-44y,Ukraine,Professional degree,Java;Kotlin;PHP;Python,Kotlin,Cloud Firestore;MySQL;SQLite,Cloud Firestore;SQLite,Firebase;Google Cloud,Firebase;Google Cloud,None,None
60342,25-34y,Unknown,Unknown,C#;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,C#;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,Firebase;Google Cloud;Microsoft Azure;Supabase,Microsoft Azure;Supabase,Angular;ASP.NET;Spring Boot,Angular;ASP.NET;ASP.NET CORE;Spring Boot
53408,25-34y,UK,Master’s degree,Python;SQL,None,BigQuery;Databricks SQL;Microsoft SQL Server;PostgreSQL,None,Amazon Web Services (AWS);Databricks;Google Cloud,None,None,None
7396,25-34y,Spain,Bachelor’s degree,Bash/Shell (all shells);Java;JavaScript;Rust;Scala,Bash/Shell (all shells);Rust;Scala,Dynamodb;MariaDB;MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Vercel,Play Framework;React,Play Framework
44489,35-44y,Czechia,Bachelor’s degree,Bash/Shell (all shells);Dart;Go;HTML/CSS;Ruby;Rust;SQL,Bash/Shell (all shells);Go;HTML/CSS;Lua;Rust;SQL;Swift,BigQuery;PostgreSQL;Redis,BigQuery;DuckDB;PostgreSQL;Redis;SQLite,Google Cloud;Hetzner;Vultr,Google Cloud;Hetzner,Htmx;Node.js;Vue.js,Htmx
64301,45-54y,Austria,Associate degree,C;C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript;VBA;Visual Basic (.Net),Go;JavaScript;Python,Cloud Firestore;Firebase Realtime Database;H2;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Supabase,DuckDB;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner;Microsoft Azure;Vercel,Hetzner,Angular;AngularJS;ASP.NET;Express;Htmx;jQuery;Node.js;Spring Boot;Vue.js;WordPress,Htmx
18650,25-34y,Denmark,Associate degree,Java;SQL,Go,IBM DB2,None,IBM Cloud Or Watson,None,None,None
21053,18-24y,Ukraine,Study wo degree,C#;HTML/CSS;JavaScript,HTML/CSS;JavaScript;Ruby,None,None,None,None,Node.js,Node.js;Ruby on Rails
5334,35-44y,Italy,Secondary School,JavaScript;PHP,JavaScript;PHP;Python;Rust;TypeScript,Dynamodb;Elasticsearch;MySQL,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,jQuery;Node.js,Laravel;Node.js;Symfony;Vue.js
57038,55-64y,Italy,Master’s degree,Assembly;C#;C++;Kotlin;Python;SQL,Go;JavaScript;Kotlin;PHP;Python;SQL;Swift,H2;MariaDB;Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js;Spring Boot,Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js;React
35757,25-34y,Germany,Master’s degree,Bash/Shell (all shells);Dart;HTML/CSS;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Dart;Python;Rust,PostgreSQL;SQLite,PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Firebase;Google Cloud,Angular;AngularJS;FastAPI;Flask,None
48719,55-64y,USA,Professional degree,Fortran;JavaScript;MicroPython;Python,MicroPython;Python,InfluxDB;MariaDB,InfluxDB;MariaDB,None,None,None,None
3076,35-44y,Colombia,Master’s degree,JavaScript;Python;TypeScript,JavaScript;Kotlin;Python;Rust;TypeScript,MariaDB;PostgreSQL;Redis,Databricks SQL;Elasticsearch;MariaDB;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Databricks;Microsoft Azure,Angular;Django;React,Angular;Django;FastAPI;React
35382,25-34y,Germany,Master’s degree,Bash/Shell (all shells);C++;MATLAB;Python;SQL,Bash/Shell (all shells);C++;Kotlin;Python;Rust,MySQL,MySQL,IBM Cloud Or Watson;Microsoft Azure,Amazon Web Services (AWS);VMware,None,None
22172,35-44y,UK,Master’s degree,None,None,None,None,None,None,None,None
5344,25-34y,Colombia,Associate degree,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,C#;C++;Elixir;GDScript;Go;Kotlin;Lua;Python;Rust,Microsoft SQL Server;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Oracle Cloud Infrastructure (OCI);Vercel,Cloudflare;Digital Ocean;Oracle Cloud Infrastructure (OCI);Vercel,Express;FastAPI;Laravel;Next.js;Node.js;React,ASP.NET CORE;Django;Express;NestJS;Node.js;React;Spring Boot
14598,35-44y,Poland,Master’s degree,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js;React;Remix,ASP.NET;ASP.NET CORE;Node.js;React;Remix
24657,35-44y,Guatemala,Study wo degree,Assembly;Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),None,MySQL;PostgreSQL,None,Amazon Web Services (AWS);Cloudflare;Oracle Cloud Infrastructure (OCI);VMware,None,jQuery;Laravel;Symfony;Vue.js,Angular;AngularJS
11583,45-54y,USA,Professional degree,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;Go;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,None,None,None,None,Angular;AngularJS;Node.js,Angular;ASP.NET CORE;Node.js
41558,18-24y,USA,Bachelor’s degree,Bash/Shell (all shells);HTML/CSS;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Ruby;SQL;TypeScript,PostgreSQL;Redis;Snowflake,PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS);Heroku,React;Ruby on Rails,React;Ruby on Rails
12623,35-44y,Italy,Bachelor’s degree,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,None,None,None,None,Next.js;Node.js;React,Express;jQuery;Next.js;Node.js;React;Solid.js;Svelte
6995,45-54y,Australia,Professional degree,Bash/Shell (all shells);C;C++;Python;R;Rust;TypeScript,Rust;Zig,Dynamodb;MongoDB;PostgreSQL;SQLite,Cockroachdb;Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare,"Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud;Linode, now Akamai;Netlify",Next.js;Node.js;React,FastAPI;Phoenix
42464,18-24y,USA,Study wo degree,C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C;C++;Dart;Go;Kotlin;Rust;Swift,Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Supabase,Cloud Firestore;Redis,Amazon Web Services (AWS);Firebase;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io,Astro;Flask;Next.js;Node.js;React;Vue.js,Deno;Laravel;Next.js
3648,45-54y,Canada,Professional degree,Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,BigQuery;Cloud Firestore;MySQL;PostgreSQL,BigQuery;Cloud Firestore;MySQL;PostgreSQL,Firebase;Google Cloud,Firebase;Google Cloud,Drupal;FastAPI;Next.js;Node.js;React,FastAPI;Next.js;Node.js;React
40692,18-24y,Poland,Secondary School,C;C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;MySQL,MongoDB;MySQL,None,None,Next.js;Node.js;React;Spring Boot,Next.js;Node.js;React;Spring Boot
29248,25-34y,Bulgaria,Master’s degree,C;MATLAB;Python,C;Kotlin;Python,None,None,None,None,None,None
31785,25-34y,Bulgaria,Secondary School,C#;Dart;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,None,Elasticsearch;Microsoft SQL Server;Redis;SQLite,None,Amazon Web Services (AWS);Microsoft Azure,None,AngularJS;ASP.NET;ASP.NET CORE;Node.js;Nuxt.js;Vue.js,None
21097,45-54y,USA,Study wo degree,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;Swift;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;Swift;TypeScript,MySQL;PostgreSQL;SQLite,BigQuery;Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Managed Hosting;Microsoft Azure;VMware,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;VMware,Angular;AngularJS;Next.js;Node.js;React;Ruby on Rails;Spring Boot;WordPress,AngularJS;React;Ruby on Rails;Spring Boot;WordPress
7267,25-34y,Iran,Bachelor’s degree,HTML/CSS;JavaScript,HTML/CSS;JavaScript;Kotlin,None,None,None,None,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React
58834,35-44y,Ecuador,Master’s degree,None,None,None,None,None,None,None,None
42867,35-44y,UAE,Master’s degree,C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE
46343,Under 18y,Unknown,Unknown,Ada,None,None,None,None,None,None,None
3001,35-44y,UK,Professional degree,Bash/Shell (all shells);Kotlin;Python;SQL,Kotlin;Python;SQL,PostgreSQL;Redis;Snowflake,PostgreSQL;Redis;Snowflake,Cloudflare;Google Cloud,Google Cloud,Flask,Flask
65091,18-24y,Unknown,Bachelor’s degree,None,None,None,None,None,None,None,None
18389,25-34y,Ukraine,Master’s degree,Python,Python,MongoDB,MongoDB;MySQL,Microsoft Azure,Microsoft Azure,FastAPI;Flask,FastAPI;Flask
2550,25-34y,Colombia,Master’s degree,Scala;TypeScript,Scala;TypeScript,Dynamodb,Dynamodb;Elasticsearch;Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),None,None
16618,25-34y,Belgium,Bachelor’s degree,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Elixir;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor,ASP.NET CORE;Phoenix;React
17938,18-24y,USA,Secondary School,None,None,None,None,None,None,None,None
60729,55-64y,Unknown,Bachelor’s degree,None,None,None,None,None,None,None,None
22957,18-24y,Ukraine,Associate degree,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,Dynamodb;MySQL,MySQL;PostgreSQL,None,None,Node.js;Vue.js,Astro;NestJS;Node.js;Vue.js
31225,18-24y,China,Bachelor’s degree,C++;Dart;Lua;Python,C++;Lua;Python,None,None,Digital Ocean;Heroku;VMware,Digital Ocean;VMware,None,None
8122,35-44y,Poland,Study wo degree,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript,C#;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular,Blazor
8655,35-44y,UK,Bachelor’s degree,C;C++;Python;Rust;SQL,C++;Rust,MySQL,None,None,None,Node.js,None
9542,55-64y,Australia,Bachelor’s degree,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;SQL,Bash/Shell (all shells);Groovy;Java;SQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Node.js;Spring Boot,Spring Boot
2516,55-64y,USA,Bachelor’s degree,Go;PowerShell;Python;Rust,None,None,None,Microsoft Azure,None,Flask,None
51086,25-34y,Norway,Bachelor’s degree,C#;C++;GDScript,C#;C++;GDScript;Rust,None,None,Microsoft Azure,Microsoft Azure,None,None
3875,25-34y,Ukraine,Master’s degree,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;MongoDB,None,Firebase;Google Cloud;Heroku,None,React,React
18608,18-24y,Nepal,Bachelor’s degree,JavaScript;PowerShell;Rust;TypeScript,JavaScript;PowerShell;Rust;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Netlify;Vercel,Cloudflare;Netlify;Vercel,Deno;Express;NestJS;Next.js;Node.js;React,Astro;Deno;NestJS;Next.js;Node.js;React;Solid.js
44138,55-64y,USA,Study wo degree,C;C++;PHP;Python;VBA,C;C++;PHP;Python;Rust;VBA;Visual Basic (.Net),MySQL,MySQL,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Digital Ocean,Django;WordPress,Django;WordPress
41387,18-24y,Germany,Bachelor’s degree,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;PowerShell;Python;SQL;TypeScript,None,Cassandra;Cloud Firestore;Elasticsearch;EventStoreDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;PostgreSQL;RavenDB;Redis;SQLite;Supabase,None,"Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Linode, now Akamai;Supabase",None,Angular;FastAPI;Flask;jQuery;NestJS;Node.js;React;Spring Boot;Svelte;Vue.js;WordPress,None
45499,25-34y,Spain,Bachelor’s degree,C++;Rust;SQL,C++;Rust;Zig,MySQL;SQLite,SQLite,None,None,None,None
50441,65y+,Sweden,Master’s degree,C#;PowerShell;SQL,JavaScript;TypeScript,Microsoft SQL Server,MariaDB;SQLite,VMware,None,Angular;AngularJS;ASP.NET;ASP.NET CORE,Node.js;React
65352,25-34y,Benin,Study wo degree,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;Microsoft Access;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;Firebase Realtime Database;MariaDB;Microsoft Access;MongoDB;MySQL;PostgreSQL;Redis,OVH,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;OVH;Vercel,Drupal;Express;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Spring Boot;Symfony;Vue.js;WordPress,Django;Express;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Spring Boot;Symfony;Vue.js;WordPress
14403,18-24y,USA,Study wo degree,Bash/Shell (all shells);C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET;Blazor;Node.js,Svelte
3919,25-34y,Germany,Bachelor’s degree,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,C;C#;C++;HTML/CSS;Java;JavaScript;Rust;SQL,MariaDB;Microsoft Access;MySQL;PostgreSQL;SQLite;Supabase,Cassandra;MariaDB;Redis;Supabase,Cloudflare;Hetzner;Supabase,Cloudflare;Hetzner;Supabase,React;Spring Boot;WordPress,Astro;React;Spring Boot
59897,25-34y,Unknown,Unknown,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;Solidity;SQL;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;SQLite,Cloudflare;Managed Hosting,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting,jQuery;Laravel;Next.js;Symfony;WordPress,jQuery;Laravel;Next.js;React;Symfony;Vue.js;WordPress;Yii 2
15082,55-64y,USA,Master’s degree,C++;HTML/CSS;JavaScript;PHP;SQL;VBA,C++;HTML/CSS;JavaScript;PHP;SQL;VBA,Microsoft SQL Server;MySQL,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure;VMware,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;WordPress,ASP.NET;ASP.NET CORE;jQuery
14296,35-44y,USA,Professional degree,Fortran;MATLAB;Python,Fortran;MATLAB;Python;R,None,None,None,None,None,None
40925,35-44y,Italy,Master’s degree,HTML/CSS;Java;JavaScript;Python;SQL,Go;JavaScript;Julia;Kotlin;PHP;Python;Scala,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Neo4J,None,None,jQuery,Next.js;React;Svelte;Vue.js
24785,25-34y,Portugal,Bachelor’s degree,Java;JavaScript;Kotlin;Rust;SQL,C;C#;C++;Go;Kotlin;Python;Rust;SQL;TypeScript,Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Hetzner;Managed Hosting,Amazon Web Services (AWS);Hetzner;Managed Hosting;Microsoft Azure,None,None
56353,18-24y,India,Bachelor’s degree,Java,Java,MySQL;Oracle,None,None,None,None,None
44753,35-44y,Italy,Master’s degree,C;C#;C++;Fortran;Java;MATLAB;MicroPython;Objective-C;Python;VBA,C;C++;MicroPython;Objective-C;Python;Rust;Zephyr;Zig,None,None,Amazon Web Services (AWS),None,None,None
903,45-54y,USA,Bachelor’s degree,C;C#;Dart;JavaScript;PowerShell;Python;SQL;TypeScript,None,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;SQLite,None,Firebase;Google Cloud,None,Angular;NestJS;Node.js,None
15522,18-24y,Ukraine,Bachelor’s degree,Bash/Shell (all shells);C#;PowerShell;SQL,C#;SQL,Elasticsearch;PostgreSQL;Redis,Cosmos DB;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),None,None
944,35-44y,Bangladesh,Master’s degree,Java;JavaScript;PHP;Python;SQL,Java;JavaScript;PHP;Python;SQL,MariaDB;MySQL;PostgreSQL;Redis,MariaDB;Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Django;FastAPI;Laravel;NestJS;Next.js;Spring Boot;Symfony,Django;FastAPI;Laravel;NestJS;Next.js;Spring Boot;Symfony
